id,name,description,keywords,IPN,link,image,minimum_stock,units,trackable,purchaseable,salable,active,notes,bom_checksum,bom_checked_date,bom_checked_by_id,category_id,default_location_id,default_supplier_id,is_template,variant_of_id,assembly,component,virtual,revision,creation_date,creation_user_id,level,lft,rght,tree_id,default_expiry,base_cost,multiple,metadata,barcode_data,barcode_hash,last_stocktake,responsible_owner_id,locked,revision_of_id,testable
5448,R_0603_HP_10R0_F_75V_100ppmK_generic,High Power Resistor 0603 10 Ω 1 % 75V 100ppmK generic,,005448-5448,http://short-circuits.sandbox.anybotics.com/part/5448/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5448,5449,1,0,0,1,{},,,,,false,,false
5449,R_0603_HP_10R0_F_75V_100ppmK_VishayDale_CRCW060310R0FKEAHP,High Power Resistor 0603 10 Ω 1 % 75V 100ppmK VishayDale CRCW060310R0FKEAHP,,005449-5449,http://short-circuits.sandbox.anybotics.com/part/5449/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5449,5450,1,0,0,1,{},,,,,false,,false
5450,R_0603_HP_11R0_F_75V_100ppmK_generic,High Power Resistor 0603 11 Ω 1 % 75V 100ppmK generic,,005450-5450,http://short-circuits.sandbox.anybotics.com/part/5450/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5450,5451,1,0,0,1,{},,,,,false,,false
5451,R_0603_HP_11R0_F_75V_100ppmK_VishayDale_CRCW060311R0FKEAHP,High Power Resistor 0603 11 Ω 1 % 75V 100ppmK VishayDale CRCW060311R0FKEAHP,,005451-5451,http://short-circuits.sandbox.anybotics.com/part/5451/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5451,5452,1,0,0,1,{},,,,,false,,false
5452,R_0603_HP_12R0_F_75V_100ppmK_generic,High Power Resistor 0603 12 Ω 1 % 75V 100ppmK generic,,005452-5452,http://short-circuits.sandbox.anybotics.com/part/5452/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5452,5453,1,0,0,1,{},,,,,false,,false
5453,R_0603_HP_12R0_F_75V_100ppmK_VishayDale_CRCW060312R0FKEAHP,High Power Resistor 0603 12 Ω 1 % 75V 100ppmK VishayDale CRCW060312R0FKEAHP,,005453-5453,http://short-circuits.sandbox.anybotics.com/part/5453/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5453,5454,1,0,0,1,{},,,,,false,,false
5454,R_0603_HP_13R0_F_75V_100ppmK_generic,High Power Resistor 0603 13 Ω 1 % 75V 100ppmK generic,,005454-5454,http://short-circuits.sandbox.anybotics.com/part/5454/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5454,5455,1,0,0,1,{},,,,,false,,false
5455,R_0603_HP_13R0_F_75V_100ppmK_VishayDale_CRCW060313R0FKEAHP,High Power Resistor 0603 13 Ω 1 % 75V 100ppmK VishayDale CRCW060313R0FKEAHP,,005455-5455,http://short-circuits.sandbox.anybotics.com/part/5455/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5455,5456,1,0,0,1,{},,,,,false,,false
5456,R_0603_HP_15R0_F_75V_100ppmK_generic,High Power Resistor 0603 15 Ω 1 % 75V 100ppmK generic,,005456-5456,http://short-circuits.sandbox.anybotics.com/part/5456/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5456,5457,1,0,0,1,{},,,,,false,,false
5457,R_0603_HP_15R0_F_75V_100ppmK_VishayDale_CRCW060315R0FKEAHP,High Power Resistor 0603 15 Ω 1 % 75V 100ppmK VishayDale CRCW060315R0FKEAHP,,005457-5457,http://short-circuits.sandbox.anybotics.com/part/5457/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5457,5458,1,0,0,1,{},,,,,false,,false
