CATEGORY,TYPE,NAME,REVISION,DESCRIPTION,NOTES,DESIGNATOR [str],VALUE [str],SYMBOL [str],FOOTPRINT [str],PACKAGE [str],HEIGHT [mm],VZENER [V],minVBR@IT [V],IT [A],VZTOL [%],VZDRIFT [mV/K],VFMAX [V],IFMAX [A],RTHJA [K/W],RTHJC [K/W],TJMIN [°C],TJMAX [°C],PMAX [W],SOLDER_TECHNOLOGY [str],IEC61709 [int],OTHERPROPERTIES [str],CREATED [str],VERIFIED [str],KICAD_VISIBILITY [str],MANUFACTURER,MPN,DATASHEET_LINK,DATASHEET_REVISION,SUBSTANCES,SUPPLIER1_NAME,SUPPLIER1_SKU,SUPPLIER1_STATUS,RELATEDPARTS
Active Component / Diode / TVS,generic,D_TVS_SOD-123FL_SMF5-0A_generic,0,generic TVS 5 V 0.01 A,,D,SMF5-0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,"D_TVS_SOD-123FL_SMF5-0A_LittelfuseInc_SMF50A, D_TVS_SOD-123FL_SMF5-0A_EatonElectronicsDivision_SMF50A"
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF5-0A_LittelfuseInc_SMF50A,0,TVS 5 V 0.01 A,,D,SMF5-0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF5.0A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,RoHS3 2015/863,DIGIKEY,F5748CT-ND,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF5-0A_EatonElectronicsDivision_SMF50A,0,TVS 5 V 0.01 A,,D,SMF5-0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF5-0A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,RoHS3 2015/863,DIGIKEY,283-SMF5-0ATR-ND,,
Active Component / Diode / TVS,specific,,0,TVS 5 V 0.01 A,,D,,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,generic,D_TVS_SOD-123FL_SMF6-0A_generic,0,generic TVS 6 V 0.01 A,,D,SMF6-0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF6-0A_LittelfuseInc_SMF60A,0,TVS 6 V 0.01 A,,D,SMF6-0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF6.0A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5749CT-ND,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF6-0A_EatonElectronicsDivision_SMF60A,0,TVS 6 V 0.01 A,,D,SMF6-0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF6-0A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF6-0ATR-ND,,
Active Component / Diode / TVS,specific,,0,TVS 6 V 0.01 A,,D,,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,generic,D_TVS_SOD-123FL_SMF5-0CA_generic,0,generic TVS 5 V SOD-123FL 6.4 V 0.01 A,,D,SMF5-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF5-0CA_LittelfuseInc_SMF50CA,0,TVS 5 V SOD-123FL 6.4 V 0.01 A,,D,SMF5-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF5.0CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF5.0CACT-ND,,
