CATEGORY,TYPE,NAME,REVISION,DESCRIPTION,NOTES,DESIGNATOR [str],VALUE [str],SYMBOL [str],FOOTPRINT [str],PACKAGE [str],HEIGHT [mm],IRATED [A],VBREAKACMAX [VAC],VBREAKDCMAX [VDC],IBREAKAC [AAC],IBREAKDC [ADC],I2T [A2S],BLOWCHARACTERISTIC [str],RCOLD [Ω],TMIN [°C],TMAX [°C],SOLDER_TECHNOLOGY [str],IEC61709 [int],OTHERPROPERTIES [str],CREATED [str],VERIFIED [str],KICAD_VISIBILITY [str],MANUFACTURER,MPN,DATASHEET_LINK,DATASHEET_REVISION,SUBSTANCES,SUPPLIER1_NAME,SUPPLIER1_SKP,SUPPLIER1_STATUS,RELATEDPARTS
Passive Component / Fuse,generic,F_0402_250mA_32V_FAST_generic,0,generic Fuse 250 mA 0402 32 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,250 mA,,32 V,,50A@32VDC,0.0025,FAST,0.36,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,"VBREAKDCMAX, PACKAGE, BLOWCHARACTERISTIC",,,,,,,,,"F_0402_250mA_32V_FAST_LittelfuseInc_0435250KRHFS, F_0402_250mA_32V_FAST_BournsInc_SF0402FP025F2, F_0402_250mA_32V_FAST_BelFuseInc_0ABA0250TN"
Passive Component / Fuse,specific,F_0402_250mA_32V_FAST_LittelfuseInc_0435250KRHFS,0,Fuse 250 mA 0402 32 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,250 mA,,32 V,,50A@32VDC,0.0025,FAST,0.36,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Littelfuse Inc.,0435.250KRHFS,https://www.littelfuse.com/assetdocs/fuse-435-datasheet?assetguid=ba93a49a-a7f2-4cd2-b159-afff91cc8ffd,,,DIGIKEY,F10781CT-ND,ACTIVE,
Passive Component / Fuse,specific,F_0402_250mA_32V_FAST_BournsInc_SF0402FP025F2,0,Fuse 250 mA 0402 32 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,250 mA,,32 V,,50A@32VDC,0.0025,FAST,0.36,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Bourns Inc.,SF-0402FP025F-2,https://bourns.com/docs/product-datasheets/sf-0402fp-f.pdf?sfvrsn=ea2776f6_23,,,DIGIKEY,SF-0402FP025F-2CT-ND,ACTIVE,
Passive Component / Fuse,specific,F_0402_250mA_32V_FAST_BelFuseInc_0ABA0250TN,0,Fuse 250 mA 0402 32 V FAST,,F,250 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,250 mA,,32 V,,50A@32VDC,0.0025,FAST,0.36,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Bel Fuse Inc.,0ABA-0250-TN,https://belfuse.com/media/datasheets/products/circuit-protection/ds-cp-0aba-series.pdf,,,DIGIKEY,5923-0ABA-0250-TNCT-ND,ACTIVE,
Passive Component / Fuse,generic,F_0402_375mA_32V_FAST_generic,0,generic Fuse 375 mA 0402 32 V FAST,,F,375 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,375 mA,,32 V,,50A@32VDC,0.0035,FAST,0.193,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,"VBREAKDCMAX, PACKAGE, BLOWCHARACTERISTIC",,,,,,,,,"F_0402_375mA_32V_FAST_LittelfuseInc_0435375KRHF, F_0402_375mA_32V_FAST_BournsInc_SF0402FP0375F2, F_0402_375mA_32V_FAST_BelFuseInc_0ABA0315TN"
Passive Component / Fuse,specific,F_0402_375mA_32V_FAST_LittelfuseInc_0435375KRHF,0,Fuse 375 mA 0402 32 V FAST,,F,375 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,375 mA,,32 V,,50A@32VDC,0.0035,FAST,0.193,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Littelfuse Inc.,0435.375KRHF,https://www.littelfuse.com/assetdocs/fuse-435-datasheet?assetguid=ba93a49a-a7f2-4cd2-b159-afff91cc8ffd,,,DIGIKEY,F11406CT-ND,ACTIVE,
Passive Component / Fuse,specific,F_0402_375mA_32V_FAST_BournsInc_SF0402FP0375F2,0,Fuse 375 mA 0402 32 V FAST,,F,375 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,375 mA,,32 V,,50A@32VDC,0.0035,FAST,0.193,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Bourns Inc.,SF-0402FP0375F-2,https://bourns.com/docs/product-datasheets/sf-0402fp-f.pdf?sfvrsn=ea2776f6_23,,,DIGIKEY,SF-0402FP0375F-2CT-ND,ACTIVE,
Passive Component / Fuse,specific,F_0402_375mA_32V_FAST_BelFuseInc_0ABA0315TN,0,Fuse 375 mA 0402 32 V FAST,,F,375 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,375 mA,,32 V,,50A@32VDC,0.0035,FAST,0.193,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Bel Fuse Inc.,0ABA-0315-TN,https://belfuse.com/media/datasheets/products/circuit-protection/ds-cp-0aba-series.pdf,,,DIGIKEY,5923-0ABA-0315-TNCT-ND,ACTIVE,
Passive Component / Fuse,generic,F_0402_500mA_32V_FAST_generic,0,generic Fuse 500 mA 0402 32 V FAST,,F,500 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,500 mA,,32 V,,50A@32VDC,0.0053,FAST,0.16,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,"VBREAKDCMAX, PACKAGE, BLOWCHARACTERISTIC",,,,,,,,,"F_0402_500mA_32V_FAST_LittelfuseInc_0435500KRHF, F_0402_500mA_32V_FAST_BournsInc_SF0402FP050F2, F_0402_500mA_32V_FAST_BelFuseInc_0ABA0375TN"
Passive Component / Fuse,specific,F_0402_500mA_32V_FAST_LittelfuseInc_0435500KRHF,0,Fuse 500 mA 0402 32 V FAST,,F,500 mA,Device:Fuse,Fuse:Fuse_0402_1005Metric,0402,0.33 mm,500 mA,,32 V,,50A@32VDC,0.0053,FAST,0.16,- 55°C,90°C,SMT,,,2025-08-06 / BLU,,,Littelfuse Inc.,0435.500KRHF,https://www.littelfuse.com/assetdocs/fuse-435-datasheet?assetguid=ba93a49a-a7f2-4cd2-b159-afff91cc8ffd,,,DIGIKEY,F11407CT-ND,ACTIVE,
